Front,Back,Personal Notes,Source,Tags
m. trapezius,"O:
protuberantia occipitalis externa, proc. spinosi C1-Th12, lig. nuchae<br>Ú:
laterálna tretina claviculae, acromion, spina scapulae<br>I:
n. accessorius<br>F:
fixácia lopatky, addukcia, depresia lopatky, extenzia hlavy","<img src=""BOOK_Memorix_S_117.jpg"" data-editor-shrink=""false"" width=""450"">","<img src=""anat_P_03_S_02.jpg"" data-editor-shrink=""false"" width=""450"">",anat:dorsi
m. latissimus dorsi,"O:
proc. spinosus Th7-S5, spina iliaca posterior superior<br>Ú:
crista tuberculi minoris humeri<br>I:
n. thoracodorsalis<br>F:
addukcia, extenzia a mediálna rotácia humeru","<img src=""BOOK_Memorix_S_117.jpg"" data-editor-shrink=""false"" width=""450"">","<img src=""anat_P_03_S_03.jpg"" data-editor-shrink=""false"" width=""450"">",anat:dorsi
m. levator scapulae,"O:
proc. transversus C1-C4<br>Ú:
angulus superior scapulae<br>I:
n. dorsalis scapulae<br>F:
elevácia lopatky, lateroflexia krčnej chrbtice","<img src=""BOOK_Memorix_S_118.jpg"" data-editor-shrink=""false"" width=""450"">","<img src=""anat_P_03_S_04.jpg"" data-editor-shrink=""false"" width=""450"">",anat:dorsi
m. rhomboideus minor,"O:
lig. nuchae, proc. spinosus C6-C7<br>Ú:
horná 1/3 margo medialis scapulae<br>I:
n. dorsalis scapulae<br>F:
addukcia a elevácia lopatky, tiahne lopatku mediokraniálne ku chrbtici","<img src=""BOOK_Memorix_S_118.jpg"" data-editor-shrink=""false"" width=""450"">","<img src=""anat_P_03_S_05.jpg"" data-editor-shrink=""false"" width=""450"">",anat:dorsi
m. rhomboideus major,"O:
proc. spinosus Th2-Th5<br>Ú:
margo medialis scapulae<br>I:
n. dorsalis scapulae<br>F:
addukcia a elevácia lopatky, tiahne lopatku mediokraniálne ku chrbtici","<img src=""BOOK_Memorix_S_118.jpg"" data-editor-shrink=""false"" width=""450"">","<img src=""anat_P_03_S_05.jpg"" data-editor-shrink=""false"" width=""450"">",anat:dorsi
m. serratus anterior,"O:
1.-9. rebro<br>Ú:
margo medialis scapulae, angulus inferior scapulae<br>I:
n. thoracicus longus<br>F:
abdukcia lopatky, stabilizátor lopatky, pomocný nádychový sval","<img src=""BOOK_Memorix_S_125.jpg"" data-editor-shrink=""false"" width=""450"">","<img src=""anat_P_03_S_06.jpg"" data-editor-shrink=""false"" width=""450"">",anat:dorsi
m. serratus posterior superior,"O:
proc. spinosus C6-Th2<br>Ú:
angulus costae 2-5<br>I:
nn. intercostales<br>F:
dvíha rebrá, pomocný nádychový sval","<img src=""BOOK_Memorix_S_118.jpg"" data-editor-shrink=""false"" width=""450"">","<img src=""anat_P_03_S_07.jpg"" data-editor-shrink=""false"" width=""450"">",anat:dorsi
m. serratus posterior inferior,"O:
proc. spinosus Th11-L2<br>Ú:
angulus costae 9-12<br>I:
nn. intercostales<br>F:
depresia rebier, fixácia spodných rebier pri zvýšenej činnosti bránice","<img src=""BOOK_Memorix_S_118.jpg"" data-editor-shrink=""false"" width=""450"">","<img src=""anat_P_03_S_07.jpg"" data-editor-shrink=""false"" width=""450"">",anat:dorsi
m. spinalis thoracis,"O:
proc. spinosi Th11-L2<br>Ú:
proc. spinosi Th1-Th8<br>I:
nn. spinalium Th4-L1<br>F:
extenzia chrbtice","<img src=""BOOK_Memorix_S_121.jpg"" data-editor-shrink=""false"" width=""450"">","<img src=""anat_P_03_S_09.jpg"" data-editor-shrink=""false"" width=""450"">",anat:dorsi
m. spinalis cervicis,"O:
proc. spinosi C7-Th2<br>Ú:
proc. spinosus C2<br>I:
nn. spinalium Th4-L1<br>F:
extenzia chrbtice","<img src=""BOOK_Memorix_S_121.jpg"" data-editor-shrink=""false"" width=""450"">","<img src=""anat_P_03_S_09.jpg"" data-editor-shrink=""false"" width=""450"">",anat:dorsi
m. spinalis capitis,"O:
proc. articularis C4-C6<br>Ú:
planum occipitale<br>I:
nn. spinalium Th4-L1<br>F:
extenzia chrbtice","<img src=""BOOK_Memorix_S_121.jpg"" data-editor-shrink=""false"" width=""450"">","<img src=""anat_P_03_S_09.jpg"" data-editor-shrink=""false"" width=""450"">",anat:dorsi
m. iliocostalis,"O:
mediálna časť labium externum crista iliacae, angulus costae 3-12<br>Ú:
dolná časť angulus costae 1-12, tub. posterius vertebrae cervicales C4-C6<br>I:
n. spinalis<br>F:
posturálna stabilizácia, extenzia chrbtice","<img src=""BOOK_Memorix_S_120.jpg"" data-editor-shrink=""false"" width=""450"">","<img src=""anat_P_03_S_10.jpg"" data-editor-shrink=""false"" width=""450"">",anat:dorsi
m. longissimus thoracis,"O:
crista sacralis mediana, proc. spinosi Th11-L5<br>Ú:
proc. transversi Th1-L5<br>I:
nn. spinalium<br>F:
extenzia chrbtice, ipsilaterálna flexia","<img src=""BOOK_Memorix_S_120.jpg"" data-editor-shrink=""false"" width=""450"">","<img src=""anat_P_03_S_11.jpg"" data-editor-shrink=""false"" width=""450"">",anat:dorsi
m. longissimus cervicis,"O:
proc. transversi Th1-Th4<br>Ú:
tub. posterius proc. transversi C2-C5<br>I:
nn. spinalium<br>F:
extenzia chrbtice, ipsilaterálna flexia","<img src=""BOOK_Memorix_S_120.jpg"" data-editor-shrink=""false"" width=""450"">","<img src=""anat_P_03_S_11.jpg"" data-editor-shrink=""false"" width=""450"">",anat:dorsi
m. longissimus capitis,"O:
proc. transversi Th1-Th4<br>Ú:
proc. mastoideus<br>I:
nn. spinalium<br>F:
extenzia chrbtice, ipsilaterálna flexia","<img src=""BOOK_Memorix_S_120.jpg"" data-editor-shrink=""false"" width=""450"">","<img src=""anat_P_03_S_11.jpg"" data-editor-shrink=""false"" width=""450"">",anat:dorsi
m. splenius cervicis,"O:
proc. spinosus Th4-Th6<br>Ú:
tuberculum posterius proc. transversi C1-C2<br>I:
nn. spinalium<br>F:
extenzia hlavy, lateroflexia a rotácia hlavy","<img src=""BOOK_Memorix_S_119.jpg"" data-editor-shrink=""false"" width=""450"">","<img src=""anat_P_03_S_12.jpg"" data-editor-shrink=""false"" width=""450"">",anat:dorsi
m. splenius capitis,"O:
pros. spinosus C1-Th3<br>Ú:
proc. mastoideus<br>I:
nn. spinalium C1-C5<br>F:
extenzia hlavy, lateroflexia a rotácia hlavy","<img src=""BOOK_Memorix_S_119.jpg"" data-editor-shrink=""false"" width=""450"">","<img src=""anat_P_03_S_12.jpg"" data-editor-shrink=""false"" width=""450"">",anat:dorsi
m. quadratus lumborum,"O:
crista iliaca<br>Ú:
12. rebro<br>I:
n. subcostalis<br>F:
extenzia lumbálnych stavcov, laterálna flexia chrbtice","<img src=""BOOK_Memorix_S_128.jpg"" data-editor-shrink=""false"" width=""450"">","<img src=""anat_P_03_S_13.jpg"" data-editor-shrink=""false"" width=""450"">",anat:dorsi
mm. multifidi,"O:
facies dorsalis ossis sacri, proc. transversi C3-L5<br>Ú:
proc. spinosi po celej dĺžke 1-3 stavce vyššie<br>I:
nn. spinalium<br>F:
extenzia, lateroflexia a rotácia chrbtice","<img src=""BOOK_Memorix_S_122.jpg"" data-editor-shrink=""false"" width=""450"">","<img src=""anat_P_03_S_14.jpg"" data-editor-shrink=""false"" width=""450"">",anat:dorsi
